alpha,beta,sigsqr,mu0,usqr,wsqr,ximean,xisig,corr
-4.519084210098598,-0.13036506409955556,0.21524605717520434,-0.6170517813603542,0.7146247497157102,0.05646312810851672,-0.023668651198617163,0.6808638107585572,-0.18790909390543914
-4.4950065408667665,-0.22084361371510228,0.1974755581774328,-0.3786991559225262,0.3314006521742805,0.07713825474078057,0.22554678141903417,1.1205334606629758,-0.48651952644096996
-4.525323722669691,-0.1939367585010046,0.23209895266150019,0.2576848496074532,0.30011562088556715,0.12133092453339442,0.1503363810548574,0.9935243126365204,-0.37134795695329126
-4.621837663621963,-0.14111258102634763,0.1919020897080486,0.2642988930740748,0.2695362483555407,0.10769357713432313,0.24714973943559482,1.1068659713643934,-0.33584142574218556
-4.54063013644461,-0.19780158318762714,0.17122838785256664,-0.2982758969933582,0.09511911249115,0.021009379588700576,-0.12503457254547456,0.844695967537827,-0.3744084529145625
-4.516029361230324,-0.22969594688939537,0.2253097960999274,-0.17034258149744025,0.06938176511794926,0.07254454117462593,-0.12956600589022638,0.706929231331159,-0.32367398703737965
-4.491368388790405,-0.07632235363333342,0.18686281822152886,0.12087510296087035,0.1485123793153648,0.0625398665656783,0.07712321457036346,0.8073690217283949,-0.14112182322756991
-4.655885906213175,-0.19262364397549675,0.3047968030116806,-0.08491444780922132,0.0707919967261165,0.05228344369453949,0.05098375578217197,0.8022827129881881,-0.2695572755797669
-4.618911274610806,-0.0838412113081475,0.20835271739133096,-0.20590067314330307,0.18984548597441459,0.040446062372899626,0.0425972337685392,1.018354029459259,-0.183860816209204
-4.550402573533832,-0.2124842416307663,0.13845592174623178,-0.3672805466467139,0.22213372325000214,0.019234343531090242,0.1351551213264641,0.8783779365299567,-0.4483531154649526
-4.668915404034855,-0.20598880148085913,0.20203451997361951,-0.13820539808245005,0.9535218325538083,0.07381183195889805,0.21097767305921636,1.1649175601351907,-0.4709487561331949
-4.53185389941889,-0.14711069179479921,0.20754114051491354,0.339865497353183,0.15968527099693053,0.025313209703600983,0.3175034241651422,1.106061140463351,-0.33635652451971754
-4.648875920062225,-0.14646430787186987,0.16826830029237066,-0.04632861159216513,0.09057974342138647,0.05151579905194952,-0.05240181042502137,0.6662196671961708,-0.23141740303350875
-4.6158885686009645,-0.17566741059425153,0.2575891129910357,-0.10615210767230684,0.3904559683870321,0.035737275446377594,0.030893796144747743,0.8580329284080738,-0.2846933194623305
-4.556294153993732,-0.3918908002264756,0.2957132275700773,0.18017496764751045,0.07356232244642506,0.05718409586943521,0.12313399489975237,0.8649208323406753,-0.5289689248635459
-4.641466631998255,-0.12519192580117716,0.2854677921462062,-0.31926395119525525,0.25709710164598193,0.04832144804284132,-0.0011214970922860112,0.9167359612940593,-0.21001338907101613
-4.644032394229513,-0.23954883428088333,0.16806717344998617,-0.3433546293122298,0.13316005617045856,0.05452673857261552,0.030918230151369075,0.7069976321635439,-0.3818163290394203
-4.59205029497772,-0.21358498006713483,0.20898735797366072,0.09434227402338144,0.049351758855895954,0.05787114651847745,-0.03744575382553415,0.8395131485323754,-0.36514464195815693
-4.533085961450275,-0.20435673566071977,0.25548785088549664,-0.16065095067786908,0.02687360773813634,0.04041243495739916,-0.018168431418375763,0.7925627994988587,-0.3051499265276635
-4.544545837839636,-0.25224882947861615,0.23795239942900734,-0.14451728692814442,0.19803235034693845,0.01132154076427185,-0.059969169234120004,0.8717672833757797,-0.410971697622055
-4.497925482362174,-0.18393922642205343,0.19595426629272059,-0.42902900323399,0.34695942823475867,0.065287722465538,0.061541807623339564,0.7853862368183102,-0.31024446646977466
-4.621281019355979,-0.22733955040277537,0.16536590907609286,-0.5358904857920814,0.15845995287593992,0.28306872354159235,-0.08310512527746647,0.7404733355945602,-0.38248574534640273
-4.640468834008876,-0.22370473638674096,0.21633670527663243,-0.09237750497377471,0.3079572275995162,0.2703307711030567,0.11790572502336412,0.8687783356873521,-0.3855445011417651
-4.539667615228883,-0.0738216222803826,0.21262673843916596,-0.05216311544061467,0.12499376685279902,0.13076230212169915,0.06770000879739271,0.6999206855244076,-0.1113560907691688
-4.635434531138883,-0.36180190418481895,0.25065758576563,0.6394675760790016,0.5358131827549931,0.10226563418208548,0.12398552732294305,0.7503491366694279,-0.476674691459523
-4.627827002797321,-0.23599473378531174,0.2683619752197336,-0.5420420590420758,0.20587191845708594,0.09616100355650882,0.12308943156407273,1.0948066460901895,-0.44631548410433264
-4.605244188544314,-0.11103716456012463,0.25229763518857873,0.07275756551124188,0.0937199899264438,0.07087486836153288,-0.06026465234037838,0.7838751078777008,-0.17073960182786546
-4.595832645054964,-0.11880472125721644,0.2037784706305699,0.10501141156609933,0.4386394943294119,0.025599154165253258,0.08887514900677931,0.8644243607318058,-0.22183189537188083
-4.601936378373911,-0.15144658619705637,0.186662180070955,0.4536006091672491,0.08403520477534951,0.09780294174152195,0.06861128990021373,0.7133439456837618,-0.2425830874931181
-4.573733017187492,-0.06848943882953956,0.17352157404691768,-0.14572638121320255,0.17934519577213487,0.23786509600479783,0.18555010621484652,0.8118591553947819,-0.13230995787110536
-4.596879828636432,-0.19935125654665797,0.22129843782639416,0.425150510671653,0.15901712136211923,0.044136823572713445,0.0701246461749434,0.9286789055178666,-0.3662075219902105
-4.615257396116258,-0.15299127301481233,0.18860958325675017,0.07434238468590826,0.11069605507584213,0.03982126144744459,-0.010631326622856957,0.725877060630243,-0.24773879691007944
-4.615987095078433,-0.1680549789837575,0.18678654674326817,-0.15804698231760228,0.06690119589387754,0.012644277928813312,0.17324249355604082,0.9507806632321587,-0.3467680241422686
-4.585323149219879,-0.3359340038100737,0.2829348997501497,0.020536174938277363,0.10473950791410144,0.038880056214013844,0.03791031387737971,0.94976910736916,-0.5143890465963106
-4.530597226954672,-0.20935030116351522,0.19435074872935368,-0.16844967871403072,0.4452218611903564,0.0538961611099629,-0.24227210342354366,0.725189158813454,-0.3256083219452862
-4.609407884345145,-0.11963899490079062,0.2201557781986644,-0.0341332686566068,0.26961460169282925,0.12340400304355245,0.060779637067479686,0.9281556467465963,-0.23030042187745278
-4.615199584638501,-0.16426983875332396,0.18402856746811194,-0.19184723483790064,0.17481534815333338,0.15431428073673067,-0.07610526140633339,0.950847642153402,-0.34213161218489346
-4.59017413908844,-0.10015940742160911,0.21700286343391698,0.09235416198266513,0.08815502379469195,0.025228114906249238,-0.06411031281764377,0.7234436375878242,-0.15369946956745267
-4.635283325991968,-0.19649991578047332,0.16473088451718368,-0.10394540504227415,0.07355146258930832,0.04717139144526411,0.10640613836286414,0.7443673866215392,-0.339036970265772
-4.579429518136484,-0.07343740786234129,0.18913596953761946,0.08407358235865764,0.02274981147385809,0.02080298393721071,-0.06018397566475208,0.7053438358097545,-0.11826938196689754
-4.578655493063513,-0.23684357523661242,0.1590704632949086,-0.26679293805526094,0.1981592505992103,0.06170448902768376,-0.030445055869795234,0.64571345770713,-0.3580294993443224
