alpha,beta,sigsqr,mu0,usqr,wsqr,ximean,xisig,corr
-3.964614428878265,0.5439793438066389,0.11387127323651564,-1.060234965672273,0.27129531687511876,0.4367590461388687,-1.1552634410885747,0.7825201388963618,0.783637448558776
-4.087242604091125,0.4859731695938756,0.13734271424879474,-0.44430390581084567,0.541683522865555,0.644916891481665,-0.7565885092447572,0.7334505383714922,0.6932029558696713
-4.244986538621817,0.37726955916081617,0.12837163038933683,-0.7287073556322876,0.3343198087984352,0.6853613885030689,-1.0076106019758562,0.7615543207605754,0.6255966227339199
-4.163842532445897,0.4813168445221132,0.13402540604122304,-0.6086425330434633,0.1755426501075927,0.5614103159073883,-1.0053044674036502,1.0765227862835829,0.8167131544591647
-4.100190536612449,0.5445116136966288,0.14011582758103167,-0.6639902873619862,0.1058382750747639,0.5431143593807324,-0.9373810624672765,0.7031054266499753,0.7150261111932376
-4.088837995404137,0.5453260356895991,0.127693826800302,-0.8350016525561593,0.23017890923740694,0.2851649023153529,-0.9427161605233807,0.7941130732752465,0.771306791278292
-4.053300813529719,0.4993988177797787,0.11960545817503604,-1.7033472441730395,0.6620432994139781,0.4878147884737934,-1.086429604282338,0.639694976703304,0.6785390001615308
-4.257096472811047,0.2922211452533592,0.10332598422235398,-1.1002504581607246,0.3179706633575772,0.20424715518368075,-1.1136037006155326,0.7027102417367411,0.5383521364261704
-4.005580219126034,0.5233669441277522,0.11667619686602897,-1.2100082933289844,0.1987738628203929,0.595673294428037,-0.9769381611847315,0.6637552172825505,0.7130429417389208
-4.1043802710859785,0.3877992171982101,0.17027874735149295,-1.0104213959780426,0.07446395061964042,0.16688821004368812,-0.9570178849820494,0.7567535527400671,0.5795625230654622
-4.153246902660977,0.40729201275818677,0.13309569577879618,-1.0720460991918785,0.08937878150026994,0.06289574979660847,-1.0549567785321772,0.6292185347950763,0.574815922660741
-4.216305834766292,0.3636349853339452,0.13185930276281624,-1.2803785758254649,0.11270512245717008,1.1112818885827676,-1.1265075095381316,0.7201483693873979,0.584924748989609
-4.135493684897951,0.40099396305287216,0.13656240790859175,-1.5204605147858583,0.7027234796129171,0.3151233241154629,-1.2291225986978398,0.6046908256178305,0.5486002053824872
-4.030239568580857,0.49323689061583254,0.11773573141395384,-1.5209186273209754,0.40025741579125673,0.18765732354716513,-0.845603177014385,0.6974037036295638,0.7079900471950332
-4.176945250096126,0.34629883042738074,0.13129701549265416,-1.6320577958389575,0.398174590631786,0.21115070752852708,-1.0823082750466693,0.66888499125304,0.5386091200870747
-4.046068528374369,0.4199054498905806,0.10697969814890566,-1.0605970154143025,0.05855415436128462,0.21767543737472775,-1.053762292437097,0.6866076810055705,0.6612508128164885
-4.087069627888961,0.41046778692593044,0.10010501391002066,-1.2592540226795532,0.07354622113637937,0.3835479653839188,-1.05996095784011,0.8868063006741475,0.754741733107086
-4.066824697605244,0.44740165071164867,0.15628487331264657,-1.324396917069879,0.08619438913905497,0.10207782766885654,-1.1439678007896619,0.6872240821007072,0.613924713834576
-4.108908445682059,0.4209701278935083,0.12989568654002692,-0.7679641305573096,0.18875016332962116,0.6880758744793046,-1.0022166664882088,0.6940557665131989,0.6297396171180907
-3.8790455554058463,0.6838662519806653,0.11961813141594195,-1.3968319790964319,0.4168919066155804,0.5190178304357989,-1.0312246461487822,0.8392542621174175,0.8565064522501892
-4.142034861549369,0.4107960825965379,0.12710509402360295,-0.5372106811135833,0.44232329333332937,0.14055683213760997,-1.1655181867597446,0.6494102919802587,0.5991181315830674
-4.102301768636196,0.43602174586314796,0.10766680542781489,-0.8366783844740631,0.09201678705000292,0.186187397975721,-1.0846504588012398,0.6649820410102764,0.6621652721883826
-4.129359637483471,0.3983829393665149,0.17458625530072192,-0.8468481607905798,0.12465318542134396,0.037090020005395394,-1.0189666397640587,0.749666674230406,0.581496917799871
-4.085027836739035,0.5101531258976226,0.12189540961869914,-1.0732918470177406,0.015394881410879335,0.026730082589094154,-1.0583604570882237,0.8557505441603483,0.7809698686414077
-4.232874594422724,0.37372069051676227,0.11325072945282973,-1.0974508248207968,0.027704383756148494,0.1085782581358853,-1.0800720909651516,0.7073459223026877,0.6177281770026819
-4.026607524461972,0.4930145381282136,0.12521312839037674,-1.1371753078101898,0.21480802833691648,0.28138811101905625,-0.963009469365486,0.6496639338376206,0.671074068318823
-4.067019340161777,0.4441942961638227,0.10755141515397547,-0.9007334754649352,0.3456473482746968,0.33026032686810125,-1.0611549116859917,0.6804831950501673,0.6777271159452692
-4.045142792543447,0.5124552068769548,0.18778111911346024,-1.2614145535787924,0.21700477737449642,0.23877064908823034,-1.0981186954401538,0.7442629804308315,0.6606910696682802
-4.171015704620522,0.4622338726781497,0.11643525069225123,-1.3663117997941914,0.32508760977994294,0.2347222536532295,-1.0303061586015052,0.7023401013690775,0.689285614240428
-4.052566704511662,0.4527469469982191,0.12807044700073847,-0.9707362791534859,0.05390207654790512,0.19027829740847352,-0.949077313095742,0.722069297270438,0.6744543423723734
-3.9954842255174885,0.598428910604256,0.10989051974615827,-0.935857987931342,0.6475797913180442,0.6551033920062883,-1.0866089890039323,0.6815823691948515,0.7760245721878909
-4.090797160646499,0.44010971516075503,0.13550988133824457,-0.15704121099056634,0.5762294019271812,0.42097902436167167,-1.0075933931459398,0.7415645501970302,0.6634037381710262
-4.122389468229126,0.4808781675864127,0.10649831495982445,-1.4102230853810689,0.2788994248176261,0.3237868378154848,-1.1579460077853243,0.6970807761169234,0.7165233130110193
-4.037470900163433,0.4886795399305811,0.16473165164183143,-0.7393853959211693,0.5883081234656911,1.0215452293090437,-0.9741046695506225,0.7312621600746353,0.6608216742185217
-3.9106802502424514,0.5532928824233053,0.1697103448958899,-0.9540233415420505,0.44751319290368974,0.18484074654049615,-1.0774766171833068,0.7236307062751685,0.696956567167081
-4.060616629525868,0.36319829505623086,0.1595439977813823,-0.8327587188910301,0.0680953115252184,0.32716604574347663,-0.9908643843125957,0.6680515776465434,0.519172564610803
-4.042875090931726,0.5469631799977126,0.12642604399645307,-0.7435288365024607,0.17078609313161508,0.3787703548014919,-0.9663733683606673,0.7719278332782609,0.7648987015529779
-4.088282335868134,0.5500903059239488,0.11350687588533366,-0.4052735266901779,0.27036434541835797,0.24938692137487983,-0.9776006486228561,0.7082300796128804,0.7563971014276709
-4.096709041253311,0.48204325121627634,0.08511006349020754,-1.188511008933434,0.12336964691158513,0.6610707385016498,-1.0451096576829617,0.6255298755126372,0.7186846910888575
-4.133500162189106,0.4419054140755221,0.12146276480607754,-0.9372452396605051,0.1701682642917333,0.15673273753220926,-0.9869542232059257,0.7771897097944008,0.7019061886853564
-4.2085676635721185,0.3455205136857077,0.1675651735606736,-0.9012157237491365,0.11030895831987103,0.05646290194490559,-1.0734388733106348,0.7251207318260074,0.5220376449018216
-4.081850397798946,0.43337954930918904,0.11106279419948559,-0.5762744845225183,0.23503628041836913,1.987765178138047,-0.9499189125904064,0.7391341769749745,0.6929766383311715
